ponderations;0.5;max;0.3;max;0.2;max
Etamine du Lys;3;2;3;17.5
Air Wick;2;1;3;15
Biocoop;1;2;3;14
Nature et Découvertes;1;2;1;12
Daccide;1;-1;2;12
Arkopharma;1;1;1;11
Ushuaïa;-2;1;1;8.5
LCA;-1;-1;1;8
Ladrôme Laboratoire;-2;-2;3;6.5
Pranarom;-2;-2;2;6.5
Le Comptoir Aroma;-2;-1;2;6.5
Puressentiel;-2;-1;2;6
