"Joone";3;3;17
"Pamp. Prem";2;2;14.5
"Naty";1;3;12.5
"Pamp. Activ";1;1;12.5
"Carref. Baby";2;-1;12.5
"Lupilu";2;-1;12
"Mots d'enfants";1;-1;12
"Love & Green";2;-1;9.5
"Lotus Baby";2;-1;9.5
"Pommette";2;-2;9.5
"Lillydoo";1;-2;6.5
